"block"	"cutw"	"height"	"dia"	"clone"	"fert"
1	2.4	71	0.6	"A"	3
1	0.7	67	1.4	"A"	3
1	6.5	211	3.5	"A"	3
1	1.1	69	1	"A"	3
2	2	116	1.4	"A"	3
2	4.9	123	3.2	"A"	3
2	0.8	68	2.2	"A"	3
2	1.3	79	1.8	"A"	3
2	8.8	166	2.4	"A"	3
2	2	91	2.5	"A"	3
2	2.5	32	1.9	"A"	3
3	2.5	127	2.1	"A"	3
3	1.3	79	1.5	"A"	3
3	1	81	1.6	"A"	3
3	6.3	186	2.9	"A"	3
3	12.1	234	2.7	"A"	3
4	1.6	94	1.7	"A"	3
4	0.5	43	0.6	"A"	3
4	8.5	249	3.2	"A"	3
4	1.1	86	1.6	"A"	3
5	1.7	92	1.9	"A"	3
5	7.2	241	3.7	"A"	3
5	2.7	154	2.4	"A"	3
5	1.4	92	1.9	"A"	3
1	1.4	36	1.4	"B"	3
1	2.6	186	2.2	"B"	3
1	2.2	197	2	"B"	3
1	14.7	349	3.5	"B"	3
1	0.7	66	1.3	"B"	3
1	1.9	233	2.2	"B"	3
1	4.6	251	2.8	"B"	3
1	0.8	26	1	"B"	3
2	0.9	32	0.8	"B"	3
2	2.1	89	2.4	"B"	3
2	5.2	246	3.5	"B"	3
2	11.3	238	3	"B"	3
2	5.7	245	2.8	"B"	3
3	7	247	3	"B"	3
3	2.8	161	2.1	"B"	3
3	2	117	1.7	"B"	3
3	4.3	163	3.2	"B"	3
3	0.7	51	1.3	"B"	3
4	0.5	81	1.5	"B"	3
4	1.9	144	2.1	"B"	3
4	19.7	324	2.8	"B"	3
4	3.1	164	2	"B"	3
4	6.8	242	3	"B"	3
4	1.5	101	1.6	"B"	3
4	14.3	323	3.6	"B"	3
5	11.8	294	3.9	"B"	3
5	4.1	144	2.8	"B"	3
5	3.8	173	2.3	"B"	3
5	2.3	61	2	"B"	3
5	2.4	58	1.3	"B"	3
5	1.4	99	2	"B"	3
1	0.6	79	0.9	"C"	3
1	0.9	24	0.9	"C"	3
1	4.5	208	3.2	"C"	3
1	0.8	93	1.2	"C"	3
1	0.6	93	0.9	"C"	3
2	0.7	116	1.1	"C"	3
2	4.1	261	2.7	"C"	3
2	7.4	282	3.5	"C"	3
2	1.1	62	0.9	"C"	3
2	0.6	48	0.9	"C"	3
2	10.3	281	3.6	"C"	3
2	14.7	284	3.8	"C"	3
2	1.8	79	1.9	"C"	3
3	2.4	42	2.4	"C"	3
3	2.2	77	2.1	"C"	3
3	1.2	114	1.7	"C"	3
3	0.8	81	1.3	"C"	3
3	0.7	27	0.9	"C"	3
3	5.6	22	2.1	"C"	3
3	8.5	73	4	"C"	3
3	10.1	276	3.9	"C"	3
4	8.6	247	3.4	"C"	3
4	0.9	93	1.8	"C"	3
4	0.9	76	1.2	"C"	3
4	7.1	221	3.3	"C"	3
4	2.1	49	1.4	"C"	3
4	0.7	82	1.4	"C"	3
4	9.2	241	3.2	"C"	3
5	1.1	48	1.3	"C"	3
5	2	74	1.5	"C"	3
5	4.7	51	3.2	"C"	3
5	2.9	31	1.3	"C"	3
5	8.4	221	3.6	"C"	3
5	6.1	227	2.8	"C"	3
5	0.5	79	1	"C"	3
5	0.8	128	1.6	"C"	3
1	4.6	441	4	"A"	1
1	3.6	316	3.6	"A"	1
1	2.1	353	3.3	"A"	1
1	0.3	284	3.2	"A"	1
2	0.1	366	3.4	"A"	1
2	0.8	421	4.1	"A"	1
2	7.3	407	3.9	"A"	1
2	0.6	182	1.6	"A"	1
2	14.2	414	3.6	"A"	1
2	3.2	305	3.4	"A"	1
3	0.9	306	3	"A"	1
3	7.7	418	4.5	"A"	1
3	0.6	373	3.7	"A"	1
3	0.9	188	2.3	"A"	1
3	2.1	328	3.1	"A"	1
4	1.3	371	3.6	"A"	1
4	1.4	377	3.8	"A"	1
4	0.5	331	3.1	"A"	1
4	2.2	416	3.4	"A"	1
4	6	406	3.8	"A"	1
5	5.3	261	3	"A"	1
5	0.4	68	2	"A"	1
5	4.1	218	2.3	"A"	1
5	1.6	334	3.2	"A"	1
5	5.1	371	3.8	"A"	1
5	3.1	274	3.1	"A"	1
5	1.1	262	2.8	"A"	1
1	2.7	394	3.4	"B"	1
1	12.2	431	4.3	"B"	1
1	0.8	386	3.3	"B"	1
1	1.3	349	3.1	"B"	1
1	7.6	361	4	"B"	1
1	0.9	343	3.2	"B"	1
1	0.7	306	2.7	"B"	1
1	6.1	424	3.5	"B"	1
2	1.9	406	3.4	"B"	1
2	2	434	3.4	"B"	1
2	1.2	356	3.3	"B"	1
2	0.8	404	3.3	"B"	1
2	6.8	378	3.8	"B"	1
2	0.5	391	3.5	"B"	1
2	7.2	364	4.2	"B"	1
3	1.9	357	3.8	"B"	1
3	2.4	313	3.4	"B"	1
3	1.3	236	2.8	"B"	1
3	3.2	366	3.8	"B"	1
3	7.7	346	3.8	"B"	1
3	1.3	348	3.3	"B"	1
3	6.3	347	3.9	"B"	1
4	6.5	408	4.2	"B"	1
4	0.6	371	3.5	"B"	1
4	5.6	414	4.1	"B"	1
4	2.6	413	3.4	"B"	1
4	1.1	459	3.4	"B"	1
4	2.5	339	3.6	"B"	1
4	4	423	3.7	"B"	1
5	5.2	342	3.5	"B"	1
5	4.7	254	2.6	"B"	1
5	1.2	293	2.8	"B"	1
5	1.2	323	2.7	"B"	1
5	1	397	3.2	"B"	1
5	6.9	373	3.6	"B"	1
5	0.9	334	3	"B"	1
5	1.6	186	2	"B"	1
1	1.6	391	3.4	"C"	1
1	1	382	3.7	"C"	1
1	0.5	336	3.3	"C"	1
1	5.1	411	4	"C"	1
1	6.6	316	4	"C"	1
1	12.8	401	4.5	"C"	1
1	1.3	366	3.7	"C"	1
1	4.6	353	2.4	"C"	1
2	5.8	506	4.2	"C"	1
2	10.2	499	4.9	"C"	1
2	1.5	213	2.9	"C"	1
2	0.7	414	3.4	"C"	1
2	6.8	431	4.1	"C"	1
2	3.9	365	4.1	"C"	1
3	12.1	340	4.2	"C"	1
3	0.7	341	3.4	"C"	1
3	6.3	307	4.1	"C"	1
3	3.7	349	4	"C"	1
3	1.1	259	3.2	"C"	1
3	2.1	302	3.6	"C"	1
3	1	267	3.4	"C"	1
4	1.7	393	3.7	"C"	1
4	0.8	394	3.6	"C"	1
4	6.2	403	4.4	"C"	1
4	10.2	437	4.5	"C"	1
4	3.5	454	4.4	"C"	1
4	4.8	307	3.6	"C"	1
4	1.2	418	3.6	"C"	1
5	1.3	263	3.3	"C"	1
5	5.1	323	3.8	"C"	1
5	11.6	394	4.4	"C"	1
5	6.8	336	4.1	"C"	1
5	1.3	393	3.1	"C"	1
5	6	339	3.8	"C"	1
